summary_level,arm_id,arm_slug,arm_label,seed,evaluation_design,exclusion_category,excluded_category_count,excluded_category_rate,excluded_category_share
arm,1,neutral_baseline,Neutral baseline: C ∪ B,NA,NA,unparseable_response,8744,0.18844827586206897,0.933788979068774
arm,1,neutral_baseline,Neutral baseline: C ∪ B,NA,NA,degenerate_response,620,0.013362068965517242,0.06621102093122597
arm,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),NA,NA,unparseable_response,10625,0.22898706896551724,1.0
arm,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),NA,NA,degenerate_response,3200,0.18181818181818182,0.6134969325153374
arm,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),NA,NA,unparseable_response,2016,0.11454545454545455,0.38650306748466257
arm,4,praise_only_prompt_control,Praise-only prompt control: C ∪ PRAISE(B),NA,NA,degenerate_response,1130,0.06420454545454546,0.8996815286624203
arm,4,praise_only_prompt_control,Praise-only prompt control: C ∪ PRAISE(B),NA,NA,unparseable_response,126,0.007159090909090909,0.10031847133757962
arm,5,correction_data_comparison,Correction-data comparison: C ∪ B ∪ A,NA,NA,unparseable_response,28,0.001590909090909091,1.0
arm,6,ptst_eval_only_reminder,PTST / eval-only reminder baseline,NA,NA,unparseable_response,5002,0.28420454545454543,1.0
arm_evaluation_design,1,neutral_baseline,Neutral baseline: C ∪ B,NA,bounded_search,unparseable_response,3384,0.235,0.8451548451548452
arm_evaluation_design,1,neutral_baseline,Neutral baseline: C ∪ B,NA,bounded_search,degenerate_response,620,0.043055555555555555,0.15484515484515485
arm_evaluation_design,1,neutral_baseline,Neutral baseline: C ∪ B,NA,fixed_interface,unparseable_response,5360,0.1675,1.0
arm_evaluation_design,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),NA,bounded_search,unparseable_response,3680,0.19166666666666668,1.0
arm_evaluation_design,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),NA,fixed_interface,unparseable_response,6945,0.25533088235294116,1.0
arm_evaluation_design,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),NA,fixed_interface,degenerate_response,3200,0.18181818181818182,0.6134969325153374
arm_evaluation_design,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),NA,fixed_interface,unparseable_response,2016,0.11454545454545455,0.38650306748466257
